branch	sha
app-obligation-promotion-v1	2d4a4690711b8a9510331ee614c05f055b18b5f6
arena-inferpi-2t-v1	78c7502bac8a5ba000057b3f083bc0595ac65750
arena-recursor-soundness	2de1895a52d21ad266b77002defe3e6bc69bbcfd
candidate/autonomous-cache-admission-v2	9fe7a65d0216de6c3857f0abae44934c9d2e99f4
candidate/warm-projection-base	d6a73279e6765e637f9741180cefbd7ef957d8e5
candidate/warm-projection-v1	c6d445a954def8922490d0cd874ea134b45463dd
canonical-env-capacity-separator	d7922af243f4c7f4d74af08a4e46148d4322ab2c
carried-env-identity-full-gate	3857b52e898149ccdff464e1fc54530244c05548
cold-projection-producer-census-run	84e363cefba19cffdb842570066312e43ca98886
competition/lean-refactor-arena-track1	f5618d4a7b69eac3077ed4d7a533b25ab1f3397f
compiled-iota-plan	71874e3071a7442b941d632d5ce1bc64e3e18e91
consolidated/current-v1	78c7502bac8a5ba000057b3f083bc0595ac65750
developmental-conv-policy-v1	1f6114f61920c2fb188e0d9a7403e8f162130b30
developmental-conv-policy-v1-clean	9fd8fedb017af09a166d868204fc35b4d177d7d6
docs/mathgraph-readme	81ca40d00b292c1c91ef9e20fe57ac876792a125
docs/reframe-readme	2cb17d37b657d92863540bf14c6e05a4463a108d
dulce-de-leche	c748425c1666e689a636879f88b788fa48fe158d
experiment/adaptive-contract-v102	82023a66dcf926bd7866b8b404885c38bca8aecf
experiment/adaptive-conv-scheduler-ablation	5ce7963c96d591a8f1ea77d571591666e34b94cd
experiment/adaptive-sharing-v102	611f607a6cf6150fd341330cfcfcedd7a4b4453f
experiment/app-shape-atlas-v109	466fec18cd5fe22a4f284b8bf53722b8ba28a58c
experiment/arena-basin-deletion-tournament-v30	ddd5e07c1c3af960ca6e81a810f058e3503bb742
experiment/arena-build-separator-v96	8fea86483d28986a3a2774efeb2628bf7b330c89
experiment/arena-chunk-boundary-v56	1534d621b56946a3965813446e1d468c2ff353a0
experiment/arena-chunk-local-repeat-v57	ca5ac8e2021e03556347b78a9760caddfde57a2d
